x	y	g	gxx	gyy	gzz	gxy	gxz	gyz	
0.5	0.5	-0.371342	-0.282815	0.655367	-0.372553	1.00678	-1.7855	-1.13078	
0.5	1.5	-0.382593	-0.310241	0.736366	-0.426125	0.991164	-1.87393	-1.11852	
0.5	2.5	-0.39369	-0.337559	0.818455	-0.480896	0.970567	-1.96262	-1.0997	
0.5	3.5	-0.404564	-0.364576	0.900939	-0.536363	0.944848	-2.05092	-1.07396	
0.5	4.5	-0.415145	-0.391107	0.983063	-0.591956	0.913927	-2.13811	-1.04099	
0.5	5.5	-0.425359	-0.416976	1.06402	-0.647046	0.877791	-2.22344	-1.00058	
0.5	6.5	-0.435132	-0.442027	1.14298	-0.700952	0.836495	-2.3061	-0.952625	
0.5	7.5	-0.444387	-0.466125	1.21908	-0.752955	0.790163	-2.38528	-0.897144	
0.5	8.5	-0.45305	-0.489157	1.29147	-0.802313	0.738985	-2.46013	-0.834281	
0.5	9.5	-0.461049	-0.511036	1.35932	-0.848283	0.683214	-2.52983	-0.764317	
0.5	10.5	-0.468314	-0.531697	1.42183	-0.890135	0.62316	-2.59359	-0.687672	
0.5	11.5	-0.474782	-0.551092	1.47827	-0.927181	0.559184	-2.65066	-0.604904	
0.5	12.5	-0.480394	-0.569184	1.52798	-0.958791	0.491687	-2.70036	-0.516699	
0.5	13.5	-0.4851	-0.585943	1.57036	-0.984416	0.421106	-2.74208	-0.42386	
0.5	14.5	-0.488859	-0.601329	1.60494	-1.00361	0.347906	-2.77534	-0.327293	
0.5	15.5	-0.491637	-0.615294	1.63133	-1.01603	0.272574	-2.79976	-0.227979	
0.5	16.5	-0.493413	-0.62777	1.64926	-1.02149	0.195614	-2.81507	-0.126956	
0.5	17.5	-0.494174	-0.638666	1.65856	-1.0199	0.117541	-2.82115	-0.0252915	
0.5	18.5	-0.49392	-0.64787	1.65919	-1.01132	0.0388846	-2.818	0.0759483	
0.5	19.5	-0.49266	-0.655249	1.65121	-0.99596	-0.0398208	-2.80575	0.17572	
0.5	20.5	-0.490414	-0.660657	1.63478	-0.974126	-0.118036	-2.78464	0.273032	
0.5	21.5	-0.48721	-0.663942	1.61019	-0.946246	-0.19522	-2.75506	0.366961	
0.5	22.5	-0.483088	-0.664961	1.5778	-0.912839	-0.270841	-2.71745	0.456679	
0.5	23.5	-0.478093	-0.663584	1.53808	-0.874498	-0.344376	-2.67237	0.54146	
0.5	24.5	-0.472278	-0.659709	1.49158	-0.831872	-0.415325	-2.62043	0.620692	
0.5	25.5	-0.4657	-0.653273	1.43892	-0.785643	-0.483215	-2.56231	0.693886	
0.5	26.5	-0.458421	-0.644251	1.38076	-0.736506	-0.547613	-2.49871	0.760674	
0.5	27.5	-0.450508	-0.63267	1.31782	-0.685153	-0.608133	-2.43036	0.820806	
0.5	28.5	-0.442028	-0.6186	1.25086	-0.632259	-0.664443	-2.358	0.87415	
0.5	29.5	-0.433048	-0.602161	1.18062	-0.578464	-0.71627	-2.28235	0.920677	
0.5	30.5	-0.423637	-0.583511	1.10788	-0.524364	-0.763408	-2.20412	0.960455	
0.5	31.5	-0.413861	-0.562849	1.03335	-0.470504	-0.805716	-2.12399	0.993637	
0.5	32.5	-0.403785	-0.540397	0.95777	-0.417373	-0.843118	-2.0426	1.02045	
0.5	33.5	-0.393472	-0.516403	0.881802	-0.365398	-0.875603	-1.96054	1.04117	
